dept,number,name,section,term,credits,mode,instructor
AAS,103,First Year Social Science Seminar,Section 001 (SEM) Reading Africa: Critical Perspectives on Popular Development Books,FA 2020,3,Person,"Stein,Howard"
AAS,103,First Year Social Science Seminar,Section 003 (SEM) The City Life in Urban Africa,FA 2020,3,Online,"Murray,Martin J"
AAS,103,First Year Social Science Seminar,Section 005 (SEM) Race and Democracy,FA 2020,3,Hybrid,"Dillard,Angela Denise"
AAS,104,First Year Humanities Seminar,Section 004 (SEM) Nonviolence: From Montgomery to the World,FA 2020,3,Person,"Ellsworth,Scott A; homepage"
AAS,104,First Year Humanities Seminar,Section 006 (SEM) Say It Loud: Black Culture in America,FA 2020,3,Online,"Berrey,Stephen"
AAS,115,Elementary Swahili,Section 001 (REC),FA 2020,4,Online,"Mwipopo,Marko"
AAS,125,Elementary African Languages I,Section 001 (REC) Yoruba,FA 2020,4,Online,"Ayoola,Gabriel"
AAS,200,Introduction to African Studies,Section 011 (LEC),FA 2020,3,Hybrid,"Ekotto,Frieda"
AAS,202,Introduction to African Diasporic Studies,Section 001 (SEM),FA 2020,3,Hybrid,"Gunning,Sandra R Instructor: Askew,Kelly M"
AAS,215,Intermediate Swahili I,Section 001 (REC),FA 2020,4,Online,"Mwipopo,Marko"
AAS,246,Africa to 1850,Section 001 (LEC),FA 2020,3,Online,"Jimenez,Raevin"
AAS,250,"Law, Race, and the Historical Process, I",Section 011 (LEC),FA 2020,3,Hybrid,"Woods,Ronald C"
AAS,271,Introduction to Afro-American Literature,Section 001 (LEC),FA 2020,3,Person,"Boisseron,Benedicte M"
AAS,290,Selected Topics in Black World Studies,Section 004 (SEM) Hoop Dreams: Race and Basketball in America Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,2,Person,"Ellsworth,Scott A; homepage"
AAS,290,Selected Topics in Black World Studies,Section 006 (SEM) The Black Memoir Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,2,Person,"Boisseron,Benedicte M"
AAS,304,"Gender and Immigration:  Identity, Race, and Place","Section 001 (SEM) Refugees of Unjust Worlds: Globalization, Gender and Nation",FA 2020,3,Online,"Fadlalla,Amal Hassan"
AAS,315,Advanced Swahili I,Section 001 (REC),FA 2020,3,Online,"Mpesha,Nyambura"
AAS,323,Black Feminist Thought and Practice,Section 001 (SEM) Black Feminism(s),FA 2020,3,Online,"Strongman,Saraellen"
AAS,338,Literature in Afro-American Culture,Section 002 (LEC),FA 2020,3,Person,"Murphy,Dana"
AAS,346,Literature in African History,Section 011 (SEM),FA 2020,3,Hybrid,"Peterson,Derek R"
AAS,356,Democracy and Development in Africa,Section 001 (LEC),FA 2020,4,Person,"Pitcher, Anne"
AAS,358,Topics in Black World Studies,Section 002 (SEM),FA 2020,3,Person,
AAS,358,Topics in Black World Studies,Section 006 (SEM) Religion in Afro-Atlantic History,FA 2020,3,Hybrid,"Deese,Adrian"
AAS,358,Topics in Black World Studies,Section 012 (SEM) Writing Sex: Contemporary Black Women Writers,FA 2020,3,Online,"Strongman,Saraellen"
AAS,365,"Global Perspectives on Gender, Health, and Reproduction",Section 001 (SEM),FA 2020,3,Person,"Fadlalla,Amal Hassan"
AAS,382,Toni Morrison,Section 001 (LEC),FA 2020,3,Person,"Awkward,Michael"
AAS,407,Looking at African Things,Section 101 (SEM),FA 2020,3,Person,
AAS,411,Caribbean Religions: Creole Spiritualities from Vodou to Islam,Section 001 (SEM),FA 2020,3,Online,"Khan,Aliyah R"
AAS,439,Creole Languages and Caribbean Identities,Section 002 (LEC),FA 2020,3,Online,"Baptista,Marlyse"
AAS,458,Issues in Black World Studies,Section 001 (SEM) Psychology of Black Activism,FA 2020,3,Person,"Davis,Tangier"
AAS,458,Issues in Black World Studies,Section 003 (SEM) DAAS IN ACTION,FA 2020,3,Person,"Partridge,Damani James"
AAS,458,Issues in Black World Studies,Section 013 (SEM) DAAS IN ACTION,FA 2020,3,Person,"Partridge,Damani James"
AAS,474,The Archaeology of Nubia,Section 002 (LEC),FA 2020,3,Online,
AAS,495,Senior Seminar,Section 016 (SEM) Mass Movements and Mass Incarcerations,FA 2020,4,Hybrid,"Pearson, Heath"
AAS,558,Seminar in Black World Studies,Section 002 (SEM),FA 2020,3,Person,"Doris,David T"
AAS,103,First Year Social Science Seminar,Section 002 (SEM) South Africa: from Apartheid to Democracy,FA 2020,3,Person,"Ashforth,Adam Philip"
AAS,103,First Year Social Science Seminar,Section 004 (SEM) Race and Presidents,FA 2020,3,Online,"Countryman,Matthew J"
AAS,104,First Year Humanities Seminar,Section 003 (SEM) GoodKid/MaadCity: US Urban Identity,FA 2020,3,Online,"Poulson-Bryant,Scott"
AAS,104,First Year Humanities Seminar,Section 005 (SEM) Black Women in Popular Culture,FA 2020,3,Online,"Kelow-Bennett, Lydia"
AAS,104,First Year Humanities Seminar,Section 007 (SEM) African American Foodways,FA 2020,3,Online,"Walker,Jessica"
AAS,115,Elementary Swahili,Section 002 (REC),FA 2020,4,Online,"Mwipopo,Marko"
AAS,200,Introduction to African Studies,Section 001 (LEC),FA 2020,3,Hybrid,"Ekotto,Frieda"
